customer_id,First_Name,Last_Name,gender,DOB,AGE,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,deceased_indicator,tenure,Owns_Car,Address,Postcode,State,Country,property_valuation,Calculated_Age,Mass_Affluent,Age_Group,Customer_Value,Is_Mass_Affluent_Custom,Cluster
13,Gabriele,Norcross,Male,1955-02-15,67,38,Financial Services,High Net Worth,N,8,1,2 Sutherland Street,3799,Victoria,Australia,6,70,True,60+,67600,False,1
14,Rayshell,Kitteman,Female,1983-03-25,39,85,Financial Services,Affluent Customer,N,6,0,9 Mcbride Trail,2760,New South Wales,Australia,8,42,True,30-45,97000,True,1
15,Erroll,Radage,Male,2000-07-13,22,91,Manufacturing,Mass Customer,N,1,0,9861 New Castle Avenue,2428,New South Wales,Australia,9,25,False,<30,108200,False,3
16,Harlin,Parr,Male,1977-02-27,45,38,Not Specified,Mass Customer,N,18,1,52 Moland Street,3331,Victoria,Australia,4,48,False,30-45,47600,True,0
17,Heath,Faraday,Male,1962-03-19,60,57,Not Specified,Affluent Customer,N,15,1,82391 Kensington Lane,3058,Victoria,Australia,9,63,True,46-60,101400,True,0
18,Marjie,Neasham,Female,1967-07-06,55,79,Not Specified,Affluent Customer,N,11,0,092 2nd Alley,2135,New South Wales,Australia,12,58,True,46-60,135800,True,0
19,Sorcha,Keyson,Female,2001-04-15,21,76,Manufacturing,High Net Worth,N,1,0,59 Spaight Circle,2233,New South Wales,Australia,9,24,True,<30,105200,False,3
20,Basile,Firth,Male,1980-08-13,42,72,Manufacturing,Mass Customer,N,11,0,032 Bartelt Crossing,2444,New South Wales,Australia,8,45,False,30-45,94400,True,3
21,Mile,Cammocke,Male,1980-09-20,42,74,Manufacturing,Affluent Customer,N,16,1,18 Jenna Center,2650,New South Wales,Australia,7,45,True,30-45,84800,True,3
24,Kim,Skpsey,Female,1977-12-03,45,55,Argiculture,Mass Customer,N,15,1,3 Cordelia Plaza,2153,New South Wales,Australia,10,48,False,30-45,111000,True,1
25,Geoff,Assaf,Male,1976-12-02,46,72,Financial Services,Mass Customer,N,21,1,28 5th Center,4413,Queensland,Australia,3,49,False,46-60,44400,True,1
26,Trixi,Ginnelly,Female,1978-06-10,44,12,Financial Services,Mass Customer,N,16,1,52 Carey Alley,4740,Queensland,Australia,5,47,False,30-45,52400,True,1
27,Garvin,Klees,Male,1978-09-25,44,37,Health,Mass Customer,N,12,1,96 Texas Plaza,3218,Victoria,Australia,7,47,False,30-45,77400,True,1
28,Fee,Zellmer,Male,1973-09-30,49,5,Health,Affluent Customer,N,21,1,48 Eagan Avenue,4868,Queensland,Australia,4,52,True,46-60,41000,False,1
29,Mona,Sancraft,Female,1968-06-22,54,62,Manufacturing,Mass Customer,N,19,0,9 Buell Park,4116,Queensland,Australia,7,57,False,46-60,82400,True,3
30,Darrick,Helleckas,Male,1961-10-18,61,18,IT,Affluent Customer,N,6,1,02663 Buell Parkway,2519,New South Wales,Australia,11,64,True,60+,113600,True,2
31,Star,Praton,Female,1962-11-24,60,3,Telecommunications,High Net Worth,N,14,1,2294 Pleasure Place,2135,New South Wales,Australia,12,63,True,46-60,120600,True,1
32,Marion,Vanichkin,Female,1995-04-20,27,17,Manufacturing,Affluent Customer,N,4,0,2951 Petterle Place,2756,New South Wales,Australia,9,30,True,<30,93400,False,3
33,Ernst,Hacon,Male,1957-06-25,65,44,Not Specified,Affluent Customer,N,11,1,63 Lukken Drive,2170,New South Wales,Australia,9,68,True,60+,98800,True,0
35,Margaretha,Strettle,Female,1963-09-28,59,40,Health,High Net Worth,N,16,1,34 Russell Plaza,4127,Queensland,Australia,6,62,True,46-60,68000,True,1
36,Lurette,Stonnell,Female,1977-11-09,45,33,Not Specified,Affluent Customer,N,22,0,78 Del Sol Hill,2535,New South Wales,Australia,8,48,True,30-45,86600,True,0
37,Laurie,Dwerryhouse,Female,1985-12-22,37,46,Health,High Net Worth,N,16,0,54 Sage Plaza,4726,Queensland,Australia,1,40,True,30-45,19200,True,1
38,Cordi,Merman,Female,1955-10-29,67,37,Financial Services,Affluent Customer,N,20,0,90 Lawn Parkway,4805,Queensland,Australia,4,70,True,60+,47400,False,1
39,Hunfredo,Smalley,Male,1979-04-16,43,5,Entertainment,Mass Customer,N,22,0,38726 Ilene Crossing,2212,New South Wales,Australia,10,46,False,30-45,101000,True,1
40,Tomasine,Jerche,Female,1981-10-27,41,91,Manufacturing,Affluent Customer,N,14,0,3496 Brown Drive,2207,New South Wales,Australia,8,44,True,30-45,98200,True,3
41,Basilius,Coupe,Male,1976-04-14,46,64,Health,Mass Customer,N,16,0,7188 Cody Way,3350,Victoria,Australia,9,49,False,46-60,102800,True,1
42,Chiquita,Durnall,Female,1977-03-28,45,24,Manufacturing,Mass Customer,N,18,0,1 Claremont Park,3931,Victoria,Australia,10,48,False,30-45,104800,True,3
43,Indira,Belt,Female,1983-03-01,39,38,Retail,Mass Customer,N,5,0,60 Eagan Circle,4018,Queensland,Australia,8,42,False,30-45,87600,True,1
44,Neron,Verick,Male,1981-10-18,41,63,Entertainment,Affluent Customer,N,17,1,89314 Eagle Crest Center,4670,Queensland,Australia,2,44,True,30-45,32600,True,1
45,Trace,Woodhead,Male,1975-09-23,47,64,Financial Services,Mass Customer,N,8,0,2028 Lakewood Place,2480,New South Wales,Australia,3,50,False,46-60,42800,True,1
46,Kaila,Allin,Female,1972-02-26,50,98,Not Specified,Affluent Customer,N,15,1,70875 Hudson Point,3212,Victoria,Australia,6,53,True,46-60,79600,True,0
47,Matthew,Jeaycock,Male,1992-10-22,30,51,Health,Affluent Customer,N,2,0,543 Killdeer Park,2322,New South Wales,Australia,4,33,True,30-45,50200,True,1
48,Rebbecca,Casone,Female,1975-08-15,47,46,Not Specified,Mass Customer,N,8,1,22125 Ramsey Drive,3198,Victoria,Australia,9,50,False,46-60,99200,True,0
49,Nolly,Ownsworth,Male,1994-01-26,28,63,Not Specified,Affluent Customer,N,1,0,3107 Calypso Terrace,2210,New South Wales,Australia,9,31,True,<30,102600,False,0
50,Whitby,Schapero,Male,1980-10-01,42,38,Manufacturing,Mass Customer,N,16,1,957 Veith Junction,2047,New South Wales,Australia,10,45,False,30-45,107600,True,3
51,Fidelio,Dilke,Male,1959-12-05,63,68,Retail,Mass Customer,N,18,0,4853 Gulseth Avenue,4503,Queensland,Australia,5,66,False,60+,63600,True,1
52,Curran,Bentson,Male,1988-06-22,34,57,Financial Services,Mass Customer,N,13,1,9 Michigan Terrace,2145,New South Wales,Australia,8,37,False,30-45,91400,True,1
53,Agnella,Gocke,Female,1954-04-18,68,22,Financial Services,Mass Customer,N,16,0,62 Steensland Road,4350,Queensland,Australia,3,71,False,60+,34400,False,1
54,Loralyn,Wonfor,Female,1966-07-24,56,2,Property,Mass Customer,N,18,1,6 Homewood Avenue,2142,New South Wales,Australia,8,59,False,46-60,80400,False,1
55,Linc,Jillions,Male,1956-09-24,66,48,Financial Services,Affluent Customer,N,7,1,15 Almo Lane,2029,New South Wales,Australia,10,69,True,60+,109600,False,1
56,Reese,Ensor,Male,1996-07-04,26,44,Property,Mass Customer,N,4,1,690 Glacier Hill Circle,2127,New South Wales,Australia,10,29,False,<30,108800,False,1
57,Abba,Masedon,Male,1988-06-13,34,87,Not Specified,Mass Customer,N,13,1,89787 Village Green Terrace,4280,Queensland,Australia,6,37,False,30-45,77400,True,0
58,Dalenna,Pinnock,Female,1967-07-04,55,26,Financial Services,Affluent Customer,N,17,1,18 Elgar Park,2166,New South Wales,Australia,9,58,True,46-60,95200,True,1
59,Niki,Heathcote,Male,2000-02-08,22,60,Not Specified,High Net Worth,N,3,0,413 Mayer Street,2046,New South Wales,Australia,9,25,True,<30,102000,False,0
60,Nadiya,Champerlen,Female,1970-02-04,52,18,Manufacturing,Mass Customer,N,10,0,39 3rd Drive,2026,New South Wales,Australia,10,55,False,46-60,103600,True,3
61,Kacey,Rowbottom,Female,1959-11-29,63,47,Property,High Net Worth,N,13,0,44516 Katie Parkway,2765,New South Wales,Australia,7,66,True,60+,79400,True,1
62,Sorcha,Roggers,Female,1979-07-06,43,38,IT,Mass Customer,N,22,1,41 Schurz Center,2749,New South Wales,Australia,8,46,False,30-45,87600,True,2
63,Ebony,Zini,Female,1965-07-03,57,58,Retail,Mass Customer,N,16,1,68150 Boyd Road,2745,New South Wales,Australia,9,60,False,46-60,101600,True,1
64,Gerek,Yve,Male,1978-03-25,44,73,IT,High Net Worth,N,4,0,11474 Westend Hill,3752,Victoria,Australia,8,47,True,30-45,94600,True,2
65,Yale,Tanser,Male,1976-04-01,46,21,Financial Services,Affluent Customer,N,15,1,308 Jana Crossing,2153,New South Wales,Australia,10,49,True,46-60,104200,True,1
66,Anselm,Gawne,Male,2002-03-11,20,46,Argiculture,High Net Worth,N,1,0,163 Straubel Trail,2217,New South Wales,Australia,10,23,True,<30,109200,False,1
67,Vernon,Unknown,Male,1960-06-14,62,67,Retail,Mass Customer,N,18,0,68294 Clarendon Crossing,2230,New South Wales,Australia,10,65,False,60+,113400,True,1
68,Dahlia,Eddoes,Female,1974-04-21,48,37,Not Specified,Affluent Customer,N,9,0,486 Mariners Cove Plaza,3046,Victoria,Australia,7,51,True,46-60,77400,True,0
69,Heidi,Milner,Female,1969-06-22,53,16,Not Specified,Mass Customer,N,6,0,0322 Dryden Court,3183,Victoria,Australia,7,56,False,46-60,73200,True,0
70,Foster,Vannoort,Male,1993-02-27,29,78,Financial Services,Affluent Customer,N,8,0,9 Bonner Road,2070,New South Wales,Australia,12,32,True,<30,135600,False,1
71,Hoyt,Glavias,Male,1985-01-27,37,30,Argiculture,Affluent Customer,N,12,1,07041 Briar Crest Lane,2213,New South Wales,Australia,10,40,True,30-45,106000,True,1
72,Sammy,Cheese,Male,1972-02-13,50,93,Manufacturing,Affluent Customer,N,16,1,29466 Hanson Pass,4208,Queensland,Australia,6,53,True,46-60,78600,True,3
73,Minette,Worters,Female,1960-05-27,62,16,Not Specified,Affluent Customer,N,5,1,0212 Forest Run Trail,2774,New South Wales,Australia,8,65,True,60+,83200,True,0
74,Pansy,Kiddie,Female,1969-06-19,53,94,Not Specified,Mass Customer,N,6,1,33055 Menomonie Parkway,4133,Queensland,Australia,8,56,False,46-60,98800,True,0
75,Dollie,Sealy,Female,1978-07-15,44,28,Property,Mass Customer,N,19,0,4763 Merchant Avenue,2756,New South Wales,Australia,8,47,False,30-45,85600,True,1
76,Rea,Hasser,Female,1978-01-23,44,20,Retail,High Net Worth,N,18,1,439 Ridgeway Court,4213,Queensland,Australia,9,47,True,30-45,94000,True,1
77,Shermie,Andrin,Male,1989-09-12,33,79,Financial Services,Mass Customer,N,7,0,2 Clyde Gallagher Lane,4170,Queensland,Australia,5,36,False,30-45,65800,True,1
78,Arch,Van der Kruis,Male,1985-03-12,37,37,Argiculture,Affluent Customer,N,8,0,97455 Loeprich Lane,2153,New South Wales,Australia,9,40,True,30-45,97400,True,1
79,Tybi,Silliman,Female,1968-10-02,54,76,Manufacturing,Mass Customer,N,18,0,9527 Ridgeway Street,2073,New South Wales,Australia,10,57,False,46-60,115200,True,3
80,Pablo,Small,Male,1978-04-24,44,11,Entertainment,Mass Customer,N,13,0,7 Jackson Point,3561,Victoria,Australia,1,47,False,30-45,12200,True,1
81,Bee,Blazewicz,Female,1986-09-04,36,58,Health,High Net Worth,N,13,0,74 Anniversary Junction,2330,New South Wales,Australia,6,39,True,30-45,71600,True,1
82,Gleda,Cokely,Female,1965-06-28,57,93,Property,High Net Worth,N,19,0,2083 Spaight Court,3977,Victoria,Australia,8,60,True,46-60,98600,True,1
83,Kerr,Simmell,Male,1967-02-26,55,97,IT,Mass Customer,N,18,1,2796 Caliangt Circle,2204,New South Wales,Australia,12,58,False,46-60,139400,True,2
84,Rich,Mathiasen,Male,1958-02-07,64,78,Not Specified,Mass Customer,N,14,1,96061 Ludington Place,2086,New South Wales,Australia,11,67,False,60+,125600,True,0
85,Kane,Tixall,Male,1958-05-21,64,1,Not Specified,Mass Customer,N,8,0,5037 Merchant Crossing,2226,New South Wales,Australia,11,67,False,60+,110200,True,0
86,Job,Sleney,Male,1989-03-04,33,75,Health,High Net Worth,N,7,1,289 Haas Street,2075,New South Wales,Australia,11,36,True,30-45,125000,True,1
87,Fields,Langdon,Male,1974-04-23,48,78,Financial Services,Mass Customer,N,8,0,4423 Bartelt Parkway,2038,New South Wales,Australia,12,51,False,46-60,135600,True,1
88,Malynda,Tumber,Female,1966-02-03,56,41,Property,High Net Worth,N,7,1,5 Grim Center,2069,New South Wales,Australia,12,59,True,46-60,128200,True,1
89,Benedicto,Hoxey,Male,1967-01-22,55,74,Health,Mass Customer,N,14,1,73042 Roth Crossing,2100,New South Wales,Australia,11,58,False,46-60,124800,True,1
90,Cary,Garron,Male,1984-11-12,38,76,Manufacturing,Mass Customer,N,11,0,171 Fordem Junction,2233,New South Wales,Australia,10,41,False,30-45,115200,True,3
91,Dylan,Meaker,Male,1955-02-24,67,69,Financial Services,Affluent Customer,N,17,1,2640 Manley Point,2166,New South Wales,Australia,9,70,True,60+,103800,False,1
92,Jodee,Judkins,Female,1980-09-11,42,98,Health,Mass Customer,N,12,0,3 Hintze Pass,3133,Victoria,Australia,10,45,False,30-45,119600,True,1
93,Gordon,Gowar,Male,1976-07-16,46,63,Retail,Mass Customer,N,10,1,2 Mcbride Road,3070,Victoria,Australia,10,49,False,46-60,112600,True,1
94,Wallache,Simchenko,Male,1974-08-07,48,33,Manufacturing,Mass Customer,N,21,0,67234 Transport Hill,2777,New South Wales,Australia,7,51,False,46-60,76600,True,3
95,Nomi,Mallinder,Female,1960-12-25,62,67,Manufacturing,Affluent Customer,N,8,1,72 Dorton Crossing,3133,Victoria,Australia,10,65,True,60+,113400,True,3
96,Heath,Olford,Male,1968-08-31,54,33,Manufacturing,Mass Customer,N,15,0,6 Heffernan Center,2125,New South Wales,Australia,11,57,False,46-60,116600,True,3
97,Arne,Corain,Male,1979-07-27,43,16,Financial Services,Mass Customer,N,10,1,6088 Roxbury Hill,2766,New South Wales,Australia,8,46,False,30-45,83200,True,1
98,Allianora,Babalola,Female,1956-03-17,66,19,Health,Mass Customer,N,7,0,105 Shelley Alley,2209,New South Wales,Australia,10,69,False,60+,103800,False,1
99,Reggie,Mulliner,Male,1998-06-13,24,97,Financial Services,Mass Customer,N,3,0,079 Merry Park,2160,New South Wales,Australia,9,27,False,<30,109400,False,1
100,Tripp,Steed,Male,1968-05-11,54,80,Financial Services,Mass Customer,N,4,1,8722 Summit Alley,2065,New South Wales,Australia,12,57,False,46-60,136000,True,1
101,Goran,Kwietek,Male,1975-12-29,47,83,Manufacturing,High Net Worth,N,11,0,9554 Artisan Pass,2150,New South Wales,Australia,10,50,True,46-60,116600,True,3
102,Langsdon,Tranfield,Male,1956-11-27,66,51,Manufacturing,Affluent Customer,N,16,0,55850 Butterfield Road,2168,New South Wales,Australia,9,69,True,60+,100200,False,3
103,Ethyl,Runham,Female,1997-04-21,25,49,Financial Services,Affluent Customer,N,4,1,68 Little Fleur Crossing,2046,New South Wales,Australia,12,28,True,<30,129800,False,1
104,Odille,Panketh,Female,1978-06-06,44,40,Health,Mass Customer,N,9,1,85688 New Castle Crossing,4171,Queensland,Australia,10,47,False,30-45,108000,True,1
105,Maribeth,Pristnor,Female,2001-09-17,21,25,Manufacturing,Mass Customer,N,1,0,8611 Loomis Lane,2155,New South Wales,Australia,10,24,False,<30,105000,False,3
106,Glyn,Unknown,Male,1966-07-03,56,54,Health,High Net Worth,N,18,1,7909 Pierstorff Crossing,2517,New South Wales,Australia,9,59,True,46-60,100800,True,1
107,Pris,Stallebrass,Female,1990-07-01,32,97,Financial Services,Mass Customer,N,9,1,01 Muir Parkway,2096,New South Wales,Australia,12,35,False,30-45,139400,True,1
108,Kayle,Mingaud,Female,1994-03-14,28,4,Not Specified,High Net Worth,N,3,0,0410 Division Junction,2750,New South Wales,Australia,8,31,True,<30,80800,False,0
109,Cody,Blabey,Male,1978-12-11,44,16,Not Specified,Affluent Customer,N,4,1,41 Service Lane,2217,New South Wales,Australia,11,47,True,30-45,113200,True,0
110,Sascha,St. Quintin,Male,2000-07-31,22,23,Financial Services,Affluent Customer,N,1,0,5 Moose Road,3977,Victoria,Australia,8,25,True,<30,84600,False,1
111,Cele,Evason,Female,1993-08-29,29,65,Not Specified,Mass Customer,N,2,0,7342 Fieldstone Junction,2093,New South Wales,Australia,12,32,False,<30,133000,False,0
112,Shena,Parren,Female,1975-08-12,47,88,Retail,High Net Worth,N,12,0,0 David Terrace,3204,Victoria,Australia,11,50,True,46-60,127600,True,1
113,Gage,Nickless,Male,1956-05-06,66,67,Not Specified,Mass Customer,N,20,0,15239 Northwestern Point,4300,Queensland,Australia,4,69,False,60+,53400,False,0
114,Sunny,Swindells,Female,1985-10-23,37,10,Entertainment,Affluent Customer,N,8,0,60 Oneill Street,2170,New South Wales,Australia,9,40,True,30-45,92000,True,1
115,Alberik,Mereweather,Male,1981-12-21,41,77,Health,Mass Customer,N,18,0,8194 Sachtjen Drive,3844,Victoria,Australia,1,44,False,30-45,25400,True,1
116,Scottie,Swiffen,Male,1999-02-05,23,49,Manufacturing,Affluent Customer,N,2,1,0349 Farmco Terrace,2168,New South Wales,Australia,8,26,True,<30,89800,False,3
117,Nance,Suttling,Female,1982-02-23,40,75,Manufacturing,Mass Customer,N,15,0,185 Pennsylvania Way,4226,Queensland,Australia,6,43,False,30-45,75000,True,3
118,Prentice,Pearmain,Male,1959-11-12,63,43,Not Specified,High Net Worth,N,19,0,432 Longview Circle,3192,Victoria,Australia,10,66,True,60+,108600,True,0
119,Willey,Chastanet,Male,1981-12-04,41,9,Not Specified,High Net Worth,N,9,1,5814 Bunker Hill Street,3070,Victoria,Australia,7,44,True,30-45,71800,False,0
120,Sloan,Wagg,Male,1978-09-02,44,80,Financial Services,High Net Worth,N,4,1,7 Carberry Crossing,2485,New South Wales,Australia,2,47,True,30-45,36000,True,1
121,Myles,Pauncefort,Male,1957-10-02,65,82,Manufacturing,Mass Customer,N,15,0,53 Talisman Trail,2097,New South Wales,Australia,9,68,False,60+,106400,True,3
122,Colver,Itter,Male,1979-04-19,43,87,Financial Services,Mass Customer,N,12,1,5 Prairie Rose Road,4817,Queensland,Australia,2,46,False,30-45,37400,True,1
123,Almeta,Kalinsky,Female,1988-12-03,34,85,Financial Services,High Net Worth,N,15,0,84 Florence Parkway,2516,New South Wales,Australia,8,37,True,30-45,97000,True,1
124,Kath,Cunney,Female,1995-05-03,27,27,Health,High Net Worth,N,5,1,739 Elmside Way,3074,Victoria,Australia,8,30,True,<30,85400,False,1
125,Darrelle,Antoniewski,Female,1960-03-17,62,94,Property,Mass Customer,N,16,0,684 Northport Circle,2213,New South Wales,Australia,10,65,False,60+,118800,True,1
126,Norman,Cliff,Male,1992-10-15,30,53,Health,Mass Customer,N,3,1,8 Hagan Hill,4508,Queensland,Australia,4,33,False,30-45,50600,True,1
127,Merrili,Whitear,Female,1974-12-03,48,81,Financial Services,Mass Customer,N,19,0,0 Pearson Crossing,4405,Queensland,Australia,1,51,False,46-60,26200,True,1
128,Isidro,Cypler,Male,1977-07-17,45,73,Property,Mass Customer,N,12,1,10918 Merry Way,2452,New South Wales,Australia,5,48,False,30-45,64600,True,1
129,Weidar,Silkstone,Male,1985-07-20,37,64,Financial Services,High Net Worth,N,19,1,97 Coolidge Trail,2142,New South Wales,Australia,9,40,True,30-45,102800,True,1
130,Raddy,Delete,Male,1997-07-18,25,32,Manufacturing,Mass Customer,N,1,0,58 Helena Hill,2205,New South Wales,Australia,7,28,False,<30,76400,False,3
131,Jana,Renyard,Female,1964-10-16,58,57,Retail,High Net Worth,N,8,0,352 Forster Place,4132,Queensland,Australia,3,61,True,46-60,41400,True,1
132,Celesta,Willavoys,Female,1963-07-07,59,5,Manufacturing,Mass Customer,N,9,1,12306 Lawn Street,2145,New South Wales,Australia,8,62,False,46-60,81000,False,3
133,Eldridge,Fiddeman,Male,1977-06-13,45,12,Financial Services,Mass Customer,N,16,1,19392 7th Trail,4744,Queensland,Australia,1,48,False,30-45,12400,True,1
134,Merna,McCulloch,Female,1997-08-01,25,34,Telecommunications,Affluent Customer,N,5,1,1605 Northfield Junction,2158,New South Wales,Australia,11,28,True,<30,116800,False,1
135,Rosalia,Sigart,Female,1975-01-18,47,18,IT,Mass Customer,N,3,0,9674 Graceland Junction,3201,Victoria,Australia,6,50,False,46-60,63600,True,2
136,Mel,Bennet,Male,1973-05-26,49,46,Manufacturing,High Net Worth,N,7,1,638 Thackeray Junction,4178,Queensland,Australia,3,52,True,46-60,39200,True,3
137,Vaughn,Artin,Male,1987-11-21,35,27,Property,High Net Worth,N,10,0,869 Forster Circle,2112,New South Wales,Australia,10,38,True,30-45,105400,True,1
138,Onofredo,Franc,Male,1985-04-28,37,5,Financial Services,Affluent Customer,N,13,1,0 Golden Leaf Crossing,2033,New South Wales,Australia,9,40,True,30-45,91000,False,1
139,Gar,Unknown,Male,1964-07-28,58,1,Telecommunications,Affluent Customer,N,4,0,215 Lindbergh Trail,4401,Queensland,Australia,1,61,True,46-60,10200,False,1
140,Morrie,Flaxon,Male,1994-05-20,28,9,Manufacturing,Mass Customer,N,2,0,829 Washington Crossing,3186,Victoria,Australia,9,31,False,<30,91800,False,3
141,Townsend,Trobe,Male,1954-06-25,68,67,Financial Services,High Net Worth,N,10,1,585 Loomis Court,2097,New South Wales,Australia,11,71,True,60+,123400,False,1
142,Bentley,Fortesquieu,Male,1967-08-07,55,57,Health,Affluent Customer,N,17,0,68063 Blue Bill Park Center,3058,Victoria,Australia,9,58,True,46-60,101400,True,1
143,Kendall,Figg,Male,1957-09-01,65,19,Argiculture,Mass Customer,N,11,1,15673 Farmco Point,4017,Queensland,Australia,6,68,False,60+,63800,True,1
145,Filippo,Ferrara,Male,1997-07-21,25,33,Financial Services,Mass Customer,N,4,0,7245 Cottonwood Center,2285,New South Wales,Australia,5,28,False,<30,56600,False,1
146,Ricoriki,Matlock,Male,1985-04-08,37,34,Manufacturing,Mass Customer,N,8,0,20382 Spohn Alley,2219,New South Wales,Australia,11,40,False,30-45,116800,True,3
147,Rea,Pattrick,Female,1973-12-06,49,32,Health,Mass Customer,N,10,1,12375 Cambridge Pass,2065,New South Wales,Australia,11,52,False,46-60,116400,True,1
148,Jaquith,Maffey,Female,1981-05-08,41,69,Not Specified,Mass Customer,N,5,1,03 Granby Parkway,3216,Victoria,Australia,8,44,False,30-45,93800,True,0
149,Drucy,Kausche,Female,1995-01-31,27,41,Health,Mass Customer,N,1,1,939 Coleman Pass,4509,Queensland,Australia,7,30,False,<30,78200,False,1
150,Bradly,Crosse,Male,1983-08-23,39,6,Financial Services,Affluent Customer,N,17,0,69914 Bowman Place,2330,New South Wales,Australia,7,42,True,30-45,71200,False,1
151,Donnie,Brimson,Male,1965-01-31,57,36,Manufacturing,Mass Customer,N,13,1,34457 Springview Street,2759,New South Wales,Australia,9,60,False,46-60,97200,True,3
152,Stephana,Cardew,Female,1981-03-03,41,5,Financial Services,Mass Customer,N,16,0,992 Old Shore Trail,2069,New South Wales,Australia,12,44,False,30-45,121000,True,1
153,Lorilyn,Walshe,Female,1977-07-28,45,73,Entertainment,Mass Customer,N,12,1,453 Sheridan Street,2747,New South Wales,Australia,8,48,False,30-45,94600,True,1
154,Faydra,Dulieu,Female,1958-02-13,64,90,Not Specified,Mass Customer,N,11,0,8 Mccormick Crossing,2227,New South Wales,Australia,8,67,False,60+,98000,True,0
155,Orran,Bogges,Male,1985-12-28,37,4,Manufacturing,Mass Customer,N,10,0,63344 Holmberg Crossing,2025,New South Wales,Australia,10,40,False,30-45,100800,True,3
156,Shayla,Rimmington,Female,1979-09-09,43,23,Financial Services,Mass Customer,N,11,1,9 Huxley Circle,3191,Victoria,Australia,11,46,False,30-45,114600,True,1
157,Chad,Houtby,Male,1974-11-23,48,97,Financial Services,Affluent Customer,N,16,0,0 Hazelcrest Road,3025,Victoria,Australia,8,51,True,46-60,99400,True,1
158,Hamlin,Odams,Male,1984-09-03,38,99,Not Specified,Affluent Customer,N,5,0,2 Continental Plaza,2263,New South Wales,Australia,6,41,True,30-45,79800,True,0
159,Arin,Matskevich,Male,1987-05-12,35,90,Health,Affluent Customer,N,13,0,80 Duke Terrace,2233,New South Wales,Australia,10,38,True,30-45,118000,True,1
160,Wake,Durning,Male,1964-07-15,58,5,Health,Mass Customer,N,18,0,860 Hintze Lane,2154,New South Wales,Australia,11,61,False,46-60,111000,True,1
161,Tadd,Bloss,Male,1976-01-21,46,49,Not Specified,Mass Customer,N,16,0,3723 Bunker Hill Circle,2065,New South Wales,Australia,10,49,False,46-60,109800,True,0
162,Port,Acuna,Male,1979-08-12,43,90,IT,Mass Customer,N,15,0,5 Corry Court,2119,New South Wales,Australia,10,46,False,30-45,118000,True,2
163,Kessia,Helder,Female,1976-09-06,46,58,Entertainment,High Net Worth,N,14,1,65105 Sommers Pass,3016,Victoria,Australia,10,49,True,46-60,111600,True,1
164,Aarika,Van Vuuren,Female,1999-08-07,23,55,Retail,Affluent Customer,N,1,1,2054 Sommers Pass,4113,Queensland,Australia,4,26,True,<30,51000,False,1
165,Aldon,Roelofs,Male,1984-03-25,38,61,Argiculture,Mass Customer,N,12,1,22371 Miller Trail,2032,New South Wales,Australia,10,41,False,30-45,112200,True,1
166,Elston,Oleszczak,Male,1955-06-12,67,54,Manufacturing,Affluent Customer,N,6,0,35807 Oneill Way,4300,Queensland,Australia,4,70,True,60+,50800,False,3
167,Nathalie,Tideswell,Female,1969-10-27,53,95,Health,High Net Worth,N,17,1,75612 Clarendon Junction,4352,Queensland,Australia,6,56,True,46-60,79000,True,1
